"imageid	label"	label
"2653	Bags"	Bags
"55997	Others"	Others
"2640	Shoes"	Shoes
"40565	Topwear"	Topwear
"38932	Bottomwear"	Bottomwear
"4732	Others"	Others
"47188	Shoes"	Shoes
"26367	Topwear"	Topwear
"42236	Topwear"	Topwear
"29048	Topwear"	Topwear
"14911	Topwear"	Topwear
"45997	Others"	Others
"59697	Innerwear"	Innerwear
"34213	Topwear"	Topwear
"28686	Topwear"	Topwear
"19737	Topwear"	Topwear
"6280	Topwear"	Topwear
"57237	Bags"	Bags
"33262	Topwear"	Topwear
"43257	Topwear"	Topwear
"46367	Topwear"	Topwear
"45943	Topwear"	Topwear
"42429	Topwear"	Topwear
"36819	Topwear"	Topwear
"39622	Shoes"	Shoes
"57836	Bags"	Bags
"16459	Topwear"	Topwear
"9082	Bottomwear"	Bottomwear
"2838	Topwear"	Topwear
"49941	Topwear"	Topwear
"16012	Others"	Others
"59022	Shoes"	Shoes
"7131	Bottomwear"	Bottomwear
"20275	Shoes"	Shoes
"16098	Eyewear"	Eyewear
"31606	Bags"	Bags
"34051	Topwear"	Topwear
"59509	Jewellery"	Jewellery
"54498	Bags"	Bags
"9706	Sandal"	Sandal
"22648	Bags"	Bags
"49849	Watches"	Watches
"15290	Shoes"	Shoes
"38026	Watches"	Watches
"33017	Topwear"	Topwear
"18040	Bags"	Bags
"32962	Topwear"	Topwear
"42694	Shoes"	Shoes
"47584	Shoes"	Shoes
"58955	Fragrance"	Fragrance
"37975	Shoes"	Shoes
"30543	Others"	Others
"20004	Topwear"	Topwear
"50759	Sandal"	Sandal
"38638	Topwear"	Topwear
"54662	Watches"	Watches
"28278	Eyewear"	Eyewear
"26243	Bottomwear"	Bottomwear
"3740	Others"	Others
"39551	Wallets"	Wallets
"28483	Topwear"	Topwear
"22475	Topwear"	Topwear
"27504	Innerwear"	Innerwear
"25822	Topwear"	Topwear
"58121	Jewellery"	Jewellery
"37720	Topwear"	Topwear
"11525	Topwear"	Topwear
"22872	Shoes"	Shoes
"47674	Others"	Others
"42998	Others"	Others
"8865	Topwear"	Topwear
"58928	Bags"	Bags
"34517	Others"	Others
"26266	Topwear"	Topwear
"11140	Others"	Others
"29709	Topwear"	Topwear
"4608	Bags"	Bags
"11231	Watches"	Watches
"8468	Topwear"	Topwear
"35023	Others"	Others
"58641	Others"	Others
"58455	Watches"	Watches
"29968	Eyewear"	Eyewear
"45342	Shoes"	Shoes
"3976	Topwear"	Topwear
"10334	Others"	Others
"51701	Eyewear"	Eyewear
"4466	Shoes"	Shoes
"30932	Topwear"	Topwear
"53756	Bags"	Bags
"28087	Innerwear"	Innerwear
"16998	Shoes"	Shoes
"2246	Bags"	Bags
"26282	Topwear"	Topwear
"2359	Others"	Others
"6888	Topwear"	Topwear
"10634	Shoes"	Shoes
"42824	Innerwear"	Innerwear
"48766	Jewellery"	Jewellery
"18948	Others"	Others
"42833	Bags"	Bags
"49245	Others"	Others
"43150	Watches"	Watches
"37929	Others"	Others
"20467	Wallets"	Wallets
"26374	Shoes"	Shoes
"10680	Bags"	Bags
